INDV,O(HOM),E(HOM),N_SITES,F,POP
NS.1781.004.UDP0134_i7---UDP0134_i5.3D_3.realigned.bam,5213601,5583125.6,7700868,-0.17449,CMA 3D
NS.1781.004.UDP0135_i7---UDP0135_i5.3D_4.realigned.bam,5178931,5876111.7,8095155,-0.31418,CMA 3D
NS.1781.004.UDP0136_i7---UDP0136_i5.3D_5.realigned.bam,5198669,5825859.7,8028019,-0.28481,CMA 3D
NS.1781.004.UDP0137_i7---UDP0137_i5.3D_6.realigned.bam,5247061,5509907.9,7601502,-0.12567,CMA 3D
NS.1781.004.UDP0138_i7---UDP0138_i5.3D_7.realigned.bam,5209208,5795390.2,7986810,-0.26749,CMA 3D
NS.1781.004.UDP0139_i7---UDP0139_i5.3D_8.realigned.bam,5162250,5383595.2,7430941,-0.10811,CMA 3D
NS.1781.004.UDP0140_i7---UDP0140_i5.3D_9.realigned.bam,5187172,5777556.2,7963209,-0.27012,CMA 3D
NS.1781.004.UDP0141_i7---UDP0141_i5.3D_10.realigned.bam,5118358,5966622.3,8217001,-0.37694,CMA 3D
NS.1781.004.UDP0142_i7---UDP0142_i5.3D_11.realigned.bam,5053297,5138898.3,7099320,-0.04366,CMA 3D
NS.1781.004.UDP0143_i7---UDP0143_i5.3D_12.realigned.bam,5187995,5766184.8,7947411,-0.26508,CMA 3D
NS.1781.004.UDP0144_i7---UDP0144_i5.3D_13.realigned.bam,5127553,5905221.8,8134713,-0.34881,CMA 3D
NS.1781.004.UDP0145_i7---UDP0145_i5.3D_14.realigned.bam,5177028,5634752.9,7770890,-0.21428,CMA 3D
NS.1781.004.UDP0146_i7---UDP0146_i5.3D_15.realigned.bam,4871934,6007555.7,8272733,-0.50134,CMA 3D
NS.1781.004.UDP0147_i7---UDP0147_i5.3D_16.realigned.bam,5199929,5804517.4,7999242,-0.27547,CMA 3D
NS.1781.004.UDP0148_i7---UDP0148_i5.3D_17.realigned.bam,5157591,5836507.5,8042820,-0.30772,CMA 3D
NS.1781.004.UDP0149_i7---UDP0149_i5.3D_18.realigned.bam,4804679,6057927.1,8339825,-0.54921,CMA 3D
NS.1781.004.UDP0150_i7---UDP0150_i5.3D_19.realigned.bam,5122175,5975898.3,8229549,-0.37882,CMA 3D
NS.1781.004.UDP0151_i7---UDP0151_i5.3D_20.realigned.bam,4816070,6030320.2,8302550,-0.53439,CMA 3D
NS.1781.004.UDP0152_i7---UDP0152_i5.3D_21.realigned.bam,4845812,6044463,8321595,-0.52639,CMA 3D
NS.1781.004.UDP0153_i7---UDP0153_i5.3D_22.realigned.bam,4538158,4434097.8,6142355,0.06092,CMA 3D
NS.1781.004.UDP0154_i7---UDP0154_i5.3D_23.realigned.bam,5181817,5574432.1,7689012,-0.18567,CMA 3D
NS.1781.004.UDP0155_i7---UDP0155_i5.3D_24.realigned.bam,5137003,5924330.3,8160176,-0.35214,CMA 3D
NS.1781.004.UDP0156_i7---UDP0156_i5.3D_25.realigned.bam,5143858,5520936.1,7616808,-0.17991,CMA 3D
NS.1781.004.UDP0157_i7---UDP0157_i5.3D_26.realigned.bam,4904081,6029156.3,8301046,-0.49522,CMA 3D
NS.1781.004.UDP0158_i7---UDP0158_i5.3D_27.realigned.bam,5192435,5866899,8083162,-0.30432,CMA 3D
NS.1781.004.UDP0159_i7---UDP0159_i5.3D_28.realigned.bam,5084763,5972236.1,8224484,-0.39404,CMA 3D
NS.1781.004.UDP0160_i7---UDP0160_i5.3D_29.realigned.bam,5039304,6000183.5,8262107,-0.42481,CMA 3D
NS.1781.004.UDP0161_i7---UDP0161_i5.3D_30.realigned.bam,5205007,5479796.3,7561039,-0.13203,CMA 3D
NS.1781.004.UDP0162_i7---UDP0162_i5.3D_31.realigned.bam,5205500,5702132.1,7861400,-0.23,CMA 3D
NS.1781.004.UDP0163_i7---UDP0163_i5.3D_32.realigned.bam,5195060,5668452.9,7816341,-0.2204,CMA 3D
NS.1781.004.UDP0164_i7---UDP0164_i5.3D_33.realigned.bam,5127851,5440478.2,7507873,-0.15122,CMA 3D
NS.1781.004.UDP0165_i7---UDP0165_i5.3D_34.realigned.bam,5155346,5900660.9,8128585,-0.33453,CMA 3D
NS.1781.004.UDP0166_i7---UDP0166_i5.3D_35.realigned.bam,4892265,6015760.8,8283146,-0.4955,CMA 3D
NS.1781.004.UDP0167_i7---UDP0167_i5.10A_1.realigned.bam,5125085,5904175.2,8133167,-0.34953,CMA 10A
NS.1781.004.UDP0168_i7---UDP0168_i5.10A_2.realigned.bam,5202780,5836375.7,8041967,-0.28727,CMA 10A
NS.1781.004.UDP0169_i7---UDP0169_i5.10A_3.realigned.bam,5169499,5455305.3,7528505,-0.13786,CMA 10A
NS.1781.004.UDP0170_i7---UDP0170_i5.10A_4.realigned.bam,5166820,5771990.7,7955419,-0.27717,CMA 10A
NS.1781.004.UDP0171_i7---UDP0171_i5.10A_5.realigned.bam,5210590,5801200.4,7994846,-0.26924,CMA 10A
NS.1781.004.UDP0172_i7---UDP0172_i5.10A_6.realigned.bam,5194480,5576196.5,7691325,-0.18047,CMA 10A
NS.1781.004.UDP0173_i7---UDP0173_i5.10A_7.realigned.bam,5011937,5991454,8250515,-0.43359,CMA 10A
NS.1781.004.UDP0174_i7---UDP0174_i5.10A_8.realigned.bam,5220466,5690611.6,7845632,-0.21816,CMA 10A
NS.1781.004.UDP0175_i7---UDP0175_i5.10A_9.realigned.bam,5084223,5987810.2,8245415,-0.40024,CMA 10A
NS.1781.004.UDP0176_i7---UDP0176_i5.10A_10.realigned.bam,5168854,5767679.9,7949656,-0.27444,CMA 10A
NS.1781.004.UDP0177_i7---UDP0177_i5.10A_11.realigned.bam,4490229,4340906.2,6015538,0.08917,CMA 10A
NS.1781.004.UDP0178_i7---UDP0178_i5.10A_12.realigned.bam,4866064,4911205.6,6791008,-0.02401,CMA 10A
NS.1781.004.UDP0179_i7---UDP0179_i5.10A_13.realigned.bam,5185597,5723646.7,7890906,-0.24826,CMA 10A
NS.1781.004.UDP0180_i7---UDP0180_i5.10A_14.realigned.bam,5132348,5350989.4,7386670,-0.1074,CMA 10A
NS.1781.004.UDP0181_i7---UDP0181_i5.10A_15.realigned.bam,5130693,5938082.6,8178809,-0.36032,CMA 10A
NS.1781.004.UDP0182_i7---UDP0182_i5.10A_16.realigned.bam,5172987,5939084.4,8180048,-0.34186,CMA 10A
NS.1781.004.UDP0183_i7---UDP0183_i5.10A_17.realigned.bam,5178378,5788495.4,7977355,-0.27874,CMA 10A
NS.1781.004.UDP0184_i7---UDP0184_i5.10A_18.realigned.bam,5151619,5882649.2,8104039,-0.32909,CMA 10A
NS.1781.004.UDP0185_i7---UDP0185_i5.10A_19.realigned.bam,5238777,5576125.4,7691392,-0.15948,CMA 10A
NS.1781.004.UDP0186_i7---UDP0186_i5.10A_20.realigned.bam,5193722,5554692.2,7661678,-0.17132,CMA 10A
NS.1781.004.UDP0187_i7---UDP0187_i5.10A_21.realigned.bam,5145959,5507090.1,7597952,-0.17272,CMA 10A
NS.1781.004.UDP0188_i7---UDP0188_i5.10A_22.realigned.bam,906549,761568.4,1068904,0.47173,CMA 10A
NS.1781.004.UDP0189_i7---UDP0189_i5.10A_23.realigned.bam,5173333,5661255.5,7806800,-0.22741,CMA 10A
NS.1781.004.UDP0190_i7---UDP0190_i5.10A_24.realigned.bam,5234122,5614345,7742672,-0.17865,CMA 10A
NS.1781.004.UDP0191_i7---UDP0191_i5.10A_25.realigned.bam,5243421,5803430.4,7997561,-0.25523,CMA 10A
NS.1789.002.UDP0097_i7---UDP0097_i5.10A_26.realigned.bam,5244865,5797883.4,7990004,-0.25228,CMA 10A
NS.1789.002.UDP0098_i7---UDP0098_i5.10A_27.realigned.bam,5152751,5958074.1,8205596,-0.35832,CMA 10A
NS.1789.002.UDP0099_i7---UDP0099_i5.10A_28.realigned.bam,5234085,5679662.3,7830794,-0.20714,CMA 10A
NS.1789.002.UDP0100_i7---UDP0100_i5.10A_29.realigned.bam,5235571,5501839,7590570,-0.12748,CMA 10A
NS.1789.002.UDP0101_i7---UDP0101_i5.10A_30.realigned.bam,5003097,5946579.8,8190196,-0.42052,CMA 10A
NS.1789.002.UDP0102_i7---UDP0102_i5.10A_31.realigned.bam,5273182,5679375,7830395,-0.18884,CMA 10A
NS.1789.002.UDP0103_i7---UDP0103_i5.10A_32.realigned.bam,5211814,5896266,8122318,-0.30747,CMA 10A
NS.1789.002.UDP0104_i7---UDP0104_i5.10A_33.realigned.bam,5228360,5811793.9,8008381,-0.26561,CMA 10A
NS.1789.002.UDP0105_i7---UDP0105_i5.10A_34.realigned.bam,5188592,5425492.6,7488349,-0.11484,CMA 10A
NS.1789.002.UDP0106_i7---UDP0106_i5.10A_35.realigned.bam,5191296,5698911.2,7856685,-0.23525,CMA 10A
NS.1789.002.UDP0107_i7---UDP0107_i5.SMB_1.realigned.bam,5206069,5575777.7,7690655,-0.17481,St Marys Bay
NS.1789.002.UDP0108_i7---UDP0108_i5.SMB_2.realigned.bam,5282319,5753712.7,7930080,-0.2166,St Marys Bay
NS.1789.002.UDP0109_i7---UDP0109_i5.SMB_3.realigned.bam,5244657,5535456.8,7635080,-0.1385,St Marys Bay
NS.1789.002.UDP0110_i7---UDP0110_i5.SMB_4.realigned.bam,5227814,5853503.4,8064839,-0.28295,St Marys Bay
NS.1789.002.UDP0111_i7---UDP0111_i5.SMB_5.realigned.bam,5169603,5949338.3,8193604,-0.34743,St Marys Bay
NS.1789.002.UDP0112_i7---UDP0112_i5.SMB_6.realigned.bam,5138039,5325026.1,7351216,-0.09229,St Marys Bay
NS.1789.002.UDP0113_i7---UDP0113_i5.SMB_7.realigned.bam,5196915,5920587.8,8155198,-0.32385,St Marys Bay
NS.1789.002.UDP0114_i7---UDP0114_i5.SMB_8.realigned.bam,5244068,5917790.7,8151062,-0.30168,St Marys Bay
NS.1789.002.UDP0115_i7---UDP0115_i5.SMB_9.realigned.bam,5090654,5997568,8258372,-0.40115,St Marys Bay
