Missing data from input file random_001_snps_Genepop.txt.

Possible four types of missing data at a locus:
	1. Genotype contains only zeros or partially scored.
	2. Genotype has less digits than normal one.
	3. Genotype has more digits than normal one.
	4. Genotype contains non-digit character.
Types 3 and 4 stop the program.

In the table, each row is for an individual with missing data
(a) If column 'Locus' has only one number, then it is the first
    locus with missing data and also of highest missing data type.
(b) If column 'Locus' has 2 numbers, then the first number is
    the first locus with data missing, and the second number is
    the first locus that has highest missing data type.
(c) Genotype column contains the genotype of the locus in case (a)
    or the second locus in case (b).

Population 1 [NS.1780.003.UDP0195_i7---UDP0]
-----------------------------------------------------------
Individual       Locus         Genotype     Number of Loci
                                          with missing data
      13           25           000000            36
      14           30           000000            61
      15           17           000000            54
      16           17           000000           195
      17          529           000000             9
      18           24           000000            66
      19           17           000000            47
      20           20           000000            75
      21           13           000000            44
      22           64           000000            24
      23          219           000000             5
      24           79           000000            36
      25            4           000000            21
      26            4           000000           111
      27           68           000000            61
      28           30           000000           179
      29            1           000000            63
      30           12           000000            75
      31          317           000000            26
      32           17           000000            55
      33           20           000000            68
      34            4           000000           119
      35           36           000000            53
      36            4           000000            60
      37           36           000000            28
      38           68           000000             7
      39          669           000000            10
      40           23           000000            27
      41           35           000000            41
      42            5           000000            38
      43            4           000000           503
      44           11           000000            43
      45           94           000000            95
-----------------------------------------------------------
Total missing data for population   22:         2812

Population 23 [NS.1794.002.UDP0117_i7---UDP0]
-----------------------------------------------------------
Individual       Locus         Genotype     Number of Loci
                                          with missing data
       1           11           000000           133
       2            4           000000           375
       3           17           000000            40
       4           28           000000           218
       5           14           000000           108
       6            4           000000           186
       7            8           000000            67
       8            4           000000           274
       9           11           000000           363
      10           52           000000            66
      11           82           000000           146
      12            4           000000           519
      13            8           000000           255
      14            5           000000           118
      15            4           000000           349
      16            2           000000           133
      17            3           000000           149
      18           11           000000           217
      19            1           000000           446
      20           10           000000           373
      21            7           000000           273
      22            5           000000           260
      23            2           000000           417
      24            8           000000           261
      25            8           000000           354
      26           11           000000           170
      27            9           000000           547
      28            4           000000           350
      29            8           000000           154
      30           11           000000           264
      31            7           000000           127
-----------------------------------------------------------
Total missing data for population   23:         7712

Population 24 [NS.1794.002.UDP0152_i7---UDP0]
-----------------------------------------------------------
Individual       Locus         Genotype     Number of Loci
                                          with missing data
       1           40           000000            89
       2            8           000000           129
       3           17           000000           320
       4            8           000000           217
       5           11           000000           292
       6            3           000000           366
       7            3           000000           475
       8           10           000000           229
       9            3           000000           134
      10            1           000000           193
      11            4           000000           420
      12           37           000000           169
      13            9           000000           188
      14            4           000000           160
      15            8           000000           149
      16           13           000000           123
      17           13           000000           164
      18            1           000000           116
      19            8           000000           178
      20            8           000000           150
      21            1           000000            97
      22           11           000000           109
      23           15           000000           213
      24            7           000000           202
      25            4           000000           162
      26           36           000000            88
      27            3           000000           359
      28            5           000000           157
      29            4           000000            76
      30           21           000000           122
      31           17           000000           147
      32            5           000000           152
      33            4           000000           193
      34            8           000000            57
      35           12           000000           126
-----------------------------------------------------------
Total missing data for population   24:         6521

Population 25 [NS.1794.002.UDP0187_i7---UDP0]
-----------------------------------------------------------
Individual       Locus         Genotype     Number of Loci
                                          with missing data
       1            2           000000           176
       2           75           000000            67
       3           30           000000            64
       4            1           000000           107
       5           92           000000            82
       6            8           000000            92
       7           12           000000            80
       8            4           000000           112
       9            5           000000           123
      10           17           000000            97
      11           69           000000           104
      12           50           000000            82
      13           17           000000            73
      14            5           000000            83
      15           17           000000           131
      16            8           000000            96
      17            4           000000           104
      18           10           000000           102
      19           17           000000            69
      20           30           000000            68
      21            5           000000           110
      22            8           000000            98
      23            4           000000           245
      24           17           000000            86
      25           10           000000           168
      26          112           000000           109
      27            4           000000           133
      28           52           000000           113
      29           11           000000           171
      30           12           000000           102
      31           32           000000            86
      32           71           000000            63
      33            5           000000           103
      34           32           000000           136
      35           15           000000           104
-----------------------------------------------------------
Total missing data for population   25:         3739

Population 26 [NS.1794.003.UDP0127_i7---UDP0]
-----------------------------------------------------------
Individual       Locus         Genotype     Number of Loci
                                          with missing data
       1            8           000000            82
       2           12           000000           133
       3            2           000000           198
       4           17           000000            58
       5           31           000000            64
       6            8           000000            85
       7           21           000000            84
       8           30           000000            88
       9            4           000000            75
      10           30           000000            66
      11           18           000000            87
      12           19           000000            79
      13           17           000000           112
      14            8           000000            73
      15            4           000000            99
      16           71           000000            48
      17            5           000000           185
      18           66           000000            59
      19            4           000000           100
      20            4           000000           230
      21            1           000000           168
      22            4           000000           135
      23            9           000000            41
      24          176           000000            19
      25           52           000000            56
      26           40           000000            33
      27           20           000000            56
      28            2           000000           101
      29           36           000000            50
      30          113           000000            37
      31            7           000000           119
      32          105           000000            28
      33           17           000000           158
-----------------------------------------------------------
Total missing data for population   26:         3006

Population 27 [NS.1794.003.UDP0162_i7---UDP0]
-----------------------------------------------------------
Individual       Locus         Genotype     Number of Loci
                                          with missing data
       1            5           000000            98
       2           22           000000            91
       3           52           000000            55
       4            2           000000           292
       5           30           000000           122
       6           21           000000            65
       7           17           000000            55
       8            5           000000           106
       9            8           000000            43
      10            8           000000           269
      11            4           000000           196
      12           52           000000            40
      13           48           000000            42
      14           11           000000            56
      15          195           000000            38
      16           11           000000            76
      17           40           000000           105
      18           74           000000            48
      19           48           000000            55
      20            3           000000           205
      21            4           000000           241
      22           11           000000           107
      23          232           000000            22
      24            3           000000            99
